Title,Price(Ty),Area(m2),Bedroom,Toilet,Location,Price_per_m2(trieu)
"Nhà trung tâm quận Hải Châu - MT đường Lê Lai. Giao đường Nguyễn Thị Minh Khai, TTTP Đà Nẵng",7.5,"79,7",2.0,2.0,"Hải Châu, Đà Nẵng",94.1
Cần bán lô đất tặng kèm nhà cấp 4 mặt tiền đường Tiên Sơn 17 - Gần chợ đầu mối - Hoà Cường Nam,5.9,99,,,"Hải Châu, Đà Nẵng",59.6
Chào bán lô đất mặt tiền Đường An Thượng 21 - Vị trí sát Châu Thị Vĩnh Tế,0.0,92,,,"Ngũ Hành Sơn, Đà Nẵng",
"Cần bán căn nhà 83m2 kiệt Chính Hữu, An Hải Bắc, Sơn Trà, Đà Nẵng",2.7,83,,,"Sơn Trà, Đà Nẵng",32.53
"Bán căn hộ FPT Plaza2 70m2, view phố full nội thất, Căn góc đẹp, giá đầu tư",2.15,70,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",30.71
Cần tiền bán gấp căn hộ chung cư Mường Thanh biển Mỹ Khê chỉ 1.9 tỷ,1.9,67,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",28.36
"Nhà mặt tiền phố tây An Thượng, căn duy nhất còn có giá nhỉnh 5 tỷ, xứng đáng sở hữu ngay",0.0,56,3.0,,"Ngũ Hành Sơn, Đà Nẵng",
"Chủ gửi bán tòa căn hộ đường Phạm Cự Lượng gồm 5 tầng, 7 phòng đang kinh doanh cho thuê",9.0,80,,,"Sơn Trà, Đà Nẵng",112.5
"Bán cặp đất đường Nguyễn Mỹ, Hoà Xuân, Cẩm Lệ, Đà Nẵng giá rẻ nhất khu vực",9.7,225,,,"Cẩm Lệ, Đà Nẵng",43.11
"Bán đất đường 10m5 Lê Quảng Chí (Đông Nam, 100 m2) - Hoà Xuân, Cẩm Lệ",6.8,100,,,"Cẩm Lệ, Đà Nẵng",68.0
"Bán gấp căn biệt thự tâm huyết đường Anh Thơ, khu Nam Việt Á, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",21.0,300,3.0,4.0,"Ngũ Hành Sơn, Đà Nẵng",70.0
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Bán lô Bình Minh 3 - Hải Châu. (3p ra tới Phố Đi Bộ Bạch Đằng - Sông Hàn),9.0,99,,,"Hải Châu, Đà Nẵng",90.91
"Bán 332.8m2 đất ở mặt đường Ngô Xuân Thu, P. Hòa Hiệp Bắc, Q. Liên Chiểu, TP Đà Nẵng",4.8,"332,8",,,"Liên Chiểu, Đà Nẵng",14.42
"Chủ nhiều nhà nên cần bán bớt nhà 2 tầng kiên cố mặt tiền đường An Thượng 20, giá chỉ 8.X tỷ",0.0,84,3.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",
Bán 2 lô liền kề MT Võ Nguyên Giáp đối diện Furama - tuyến du lịch ĐN - Hội An - Biển - 158 tr/m2,52.0,330,,,"Sơn Trà, Đà Nẵng",157.58
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
"Đất biển đường Bùi Bỉnh Uyên sạch đẹp, ngay bãi tắm Non Nước, giá rất đầu tư. Lh:0935 574 ***",0.0,90,,,"Ngũ Hành Sơn, Đà Nẵng",
Bán nhanh căn 3PN 105m2 view biển Mỹ Khê tầng 6 - chung cư tốt nhất Đà Nẵng The Sang Residence,5.14,105,2.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",49.0
Bán nhà 2 tầng mới đẹp khu Nam Việt Á - đường Đa Phước 10 - sát sông Chương Dương,5.15,84,3.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",61.31
"Cần tiền bán gấp nhà 3 tầng đường Nguyễn Mậu Tài, Hoà Xuân, Cẩm Lệ, Đà Nẵng",6.1,100,3.0,3.0,"Cẩm Lệ, Đà Nẵng",61.0
"Cần bán mảnh đất đẹp đường Hồ Tông Huân gần bãi biển Mân Thái 500m, giá rẻ chỉ 4,3 ỷ",4.3,90,,,"Sơn Trà, Đà Nẵng",47.78
"Cần tiền bán gấp 1 hoặc 2 lô Hoàng Đức Lương cách cầu Hàn, Vincom 500m, biển Mỹ khê 1km, giá 6.8 tỷ",6.8,100,,,"Sơn Trà, Đà Nẵng",68.0
400m2 mặt tiền Nguyễn Lương Bằng đối diện bệnh viện Đa Khoa Liên Chiểu 50tr/m2,20.0,400,,,"Liên Chiểu, Đà Nẵng",50.0
"Đất hiếm khu an thượng cách phố ẩm thực Châu Thị Vĩnh Tế 20m - 105m2 - giá 9,6 tỷ có TL",9.6,105,,,"Ngũ Hành Sơn, Đà Nẵng",91.43
Bán nhà 2 tầng mặt tiền đường Lê Kim Lăng. DT: 110m2. Giá 5tỷ xxx. Trung tâm sầm uất nhất Q. Cẩm Lệ,5.7,110,4.0,,"Cẩm Lệ, Đà Nẵng",51.82
"Gia đình tôi định cư NN, cần chuyển nhuợng",0.0,65,,,"Thanh Khê, Đà Nẵng",
"Lô đất vị trí siêu vip đường Lê Quảng Chí, KĐT sinh thái ven sông Hòa Xuân",6.3,100,,,"Cẩm Lệ, Đà Nẵng",63.0
Đất FPT hướng Đông - trục thông - giá 3.4 tỷ,3.4,102,,,"Ngũ Hành Sơn, Đà Nẵng",33.33
Hơn 8 tỷ cần bán căn nhà 3 tầng 90m2 nhà mặt phố Tạ Mỹ Duật sát Dương Đình Nghệ gần biển Mỹ khê,8.8,90,4.0,4.0,"Sơn Trà, Đà Nẵng",97.78
"Bán đất MT Phần Lăng 9 ngay Công Viên, Q Thanh Khê. Giá 4tỷ26 tốt",4.26,90,,,"Thanh Khê, Đà Nẵng",47.33
"Bán lô đất đường Thanh Lương 21, song song đường lớn Lê Quảng Chí",3.85,100,,,"Cẩm Lệ, Đà Nẵng",38.5
Lô góc 2 mặt tiền Quận Sơn Trà giá rẻ,6.7,200,,,"Sơn Trà, Đà Nẵng",33.5
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Bán nhà 3 tầng Mt đường Hồ Nghinh - vị trí siêu đẹp, đường 15m - Dt 121m2 giá siêu tốt",16.0,121,4.0,5.0,"Sơn Trà, Đà Nẵng",132.23
Nhà gác lửng kiên cố gần chợ Đống Đa - giá 2.X tỷ. Kiệt ô tô,0.0,56,2.0,2.0,"Hải Châu, Đà Nẵng",
Bán đất đường Hoàng Xuân Nhị - Hải Châu - Đà Nẵng - diện tích 87.5m2 - hướng Đông,5.4,"87,5",,,"Hải Châu, Đà Nẵng",61.71
Bán đất FPT Đà Nẵng - 90m2 thông trục Shophouse và trục Bắc Nam,3.3,90,,,"Ngũ Hành Sơn, Đà Nẵng",36.67
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Bán nhanh căn 2 mặt tiền - 5 phòng ngủ,0.0,220,5.0,4.0,"Cẩm Lệ, Đà Nẵng",
Chính chủ cần bán góc Đỗ Bá và Trần Bạch Đằng duy nhất kinh doanh siêu tốt - liên hệ0935 499 ***,0.0,4.300,,,"Ngũ Hành Sơn, Đà Nẵng",
"Bán nhà đường Dương Bích Liên gần chợ Phú Lộc, gần bến xe",4.65,"95,5",3.0,3.0,"Liên Chiểu, Đà Nẵng",48.69
"Chào bán cặp đất đẹp 190m2 MT đường 11m5 Đoàn Khuê, Nam Việt Á, Ngũ Hành Sơn",9.8,190,,,"Ngũ Hành Sơn, Đà Nẵng",51.58
Chính chủ cần bán nhanh lô đất đường Nguyễn Duy Trinh gần đường An Nông dự án BRG,5.1,141,,,"Ngũ Hành Sơn, Đà Nẵng",36.17
"Bán nhà 2 tầng đường Võ Như Hưng, Mỹ An, Ngũ Hành Sơn ngay đại học kinh tế và dự án Sun Comos",5.9,80,3.0,2.0,"Ngũ Hành Sơn, Đà Nẵng",73.75
Chính chủ bán nhà 3 tầng ngang 6m mặt tiền đường Nguyễn Hoàng kinh doanh sầm uất quận Hải Châu,14.5,89,4.0,5.0,"Hải Châu, Đà Nẵng",162.92
"Chính chủ cần sang nhượng lô đất tại Khuê Mỹ, Ngũ Hành Sơn, Tp Đà Nẵng. Vị trí gần biển giá tốt",0.0,102,,,"Ngũ Hành Sơn, Đà Nẵng",
"Bán đất biệt thự FPT trục chính Bắc Nam, đối diện công viên và dãy biệt thự",4.8,128,,,"Ngũ Hành Sơn, Đà Nẵng",37.5
Siêu rẻ mặt phố gần Nguyễn Văn Thoại biệt thự 330m2 ngang 10m chỉ 70 tr/m2 sổ sẵn CC,23.1,330,4.0,3.0,"Sơn Trà, Đà Nẵng",70.0
Bán 3400 m2 đất trồng cây sổ đỏ view sông cude Hòa Bắc siêu đẹp phù hợp làm farm và nghỉ dưỡng,2.5,3.400,,,"Hòa Vang, Đà Nẵng",0.73529
"Độc quyền căn 2PN, 50m2 dự án Sun Cosmo Đà Nẵng tầng 21 view biển giá tốt nhất thị trường",2.99,50,2.0,1.0,"Ngũ Hành Sơn, Đà Nẵng",59.72
"Quỹ căn độc quyền từ CĐT - Sun Symphony - Vốn chỉ từ 670 triệu, CK đến 19,5%, cam kết giá tốt nhất",2.9,55,2.0,1.0,"Sơn Trà, Đà Nẵng",52.73
"Bán tòa căn hộ khách sạn An Thượng tuyệt đẹp, nằm ngay khu phố Tây. Ngay bãi tắm biển Mỹ Khê",0.0,154,14.0,,"Ngũ Hành Sơn, Đà Nẵng",
"Tôi cần bán cặp đất đường Bùi Thiện Ngộ, Đông Bắc, 200m2 - Hoà Xuân, Cẩm Lệ",8.2,200,,,"Cẩm Lệ, Đà Nẵng",41.0
Bán đất đường Phước Lý 1 kẹp cống sát góc 5m5 khu đô thị Phước Lý - Tp Đà Nẵng,2.75,"102,5",,,"Cẩm Lệ, Đà Nẵng",26.83
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Bán nhà 3 tầng - Kiệt Phạm Cự Lượng, Quận Sơn Trà, Đà Nẵng",5.1,74,4.0,,"Sơn Trà, Đà Nẵng",68.92
"Nhà mặt tiền đẳng cấp đường Nguyễn Nhược Pháp, KĐT Phước Lý, Quận Liên Chiểu, Đà Nẵng",4.2,105,4.0,4.0,"Liên Chiểu, Đà Nẵng",40.0
Cần bán gấp lô 180m2 - Hướng Nam - 4.7x tỷ,4.75,180,,,"Ngũ Hành Sơn, Đà Nẵng",26.39
Điện Âm Dầu Khí ngang 6m sát Võ Chí Công 3tỷxx,3.3,102,,,"Ngũ Hành Sơn, Đà Nẵng",32.35
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
"Mở bán căn hộ mặt Sông Hàn Đà Nẵng chỉ từ 2,9 tỷ/căn, khai thác cho thuê linh hoạt 17 - 50tr/tháng",2.9,40,,,"Sơn Trà, Đà Nẵng",72.5
"Nhà mặt tiền Hà Huy Tập, Thanh Khê, Đà Nẵng. Vị trí kinh doanh sầm uất. 63m2 nhỉnh 7 tỷ,0935 336 ***",7.5,63,2.0,1.0,"Thanh Khê, Đà Nẵng",119.05
"Bán đất tặng nhà giá rẻ nhất thị trường tại đường Phạm Quang Ảnh, Quận Sơn Trà, Đà Nẵng",7.2,140,,,"Sơn Trà, Đà Nẵng",51.43
"Bán căn shophouse A4 Nguyễn Sinh Sắc, Hoà Minh, Liên Chiểu, Đà Nẵng",19.0,154,4.0,7.0,"Liên Chiểu, Đà Nẵng",123.38
Kho hàng đất nền Nam Kỳ Khởi Nghĩa FPT giá rẻ - nhiều vị trí đẹp - Đa dạng diện tích,10.8,240,,,"Ngũ Hành Sơn, Đà Nẵng",45.0
Sụp hầm - Cắt Lỗ các lô đất cực đẹp Nam Hòa Xuân - Giá rẻ nhất thị trường,0.0,110,,,"Ngũ Hành Sơn, Đà Nẵng",
Cơ hội không thể bỏ lỡ Lô góc 2 mặt tiền giữa trung tâm Đà Nẵng phồn hoa,7.5,"103,4",,,"Cẩm Lệ, Đà Nẵng",72.53
"""Siêu phẩm lô góc 2 mặt tiền tại Bàu Tràm Lakeside Nơi đẳng cấp và thịnh vượng hội tụ",5.0,"159,2",,,"Liên Chiểu, Đà Nẵng",31.41
"Nhà mặt tiền Nguyễn Huy Tự, viên ngọc quý giữa lòng Đà Nẵng, nơi thiên nhiên và tiện ích hòa quyện",4.9,"76,5",3.0,3.0,"Liên Chiểu, Đà Nẵng",64.05
"Cần bán căn góc 2 mặt tiền đường Tô Hiến Thành. DT 122m2, ngang trên 14m. Cách biển 500m",15.5,122,2.0,2.0,"Sơn Trà, Đà Nẵng",127.05
Mặt tiền đường nhựa Dương Sơn Hoà Châu - sát trường học,1.75,167,,,"Hòa Vang, Đà Nẵng",10.48
Bán lô góc vàng - siêu vị trí 2 mặt tiền tại giao lộ Mê Linh và Lê Tự Nhất Thống,14.0,"284,6",,,"Liên Chiểu, Đà Nẵng",49.19
"Lô đất giữa lòng Liên Chiểu - Đầu tư một lần, sinh lời vạn lần",2.5,110,,,"Liên Chiểu, Đà Nẵng",22.73
"Bán đất tặng dãy nhà trọ trục đường Trần Nam Trung, Hòa Xuân cơ hội vàng cho nhà đầu tư thông thái",5.3,100,,,"Cẩm Lệ, Đà Nẵng",53.0
"Siêu hot bán 4 lô đất view biển tuyệt đẹp tại Đà Nẵng - Đường Trường Sa, có tách từng lô",44.0,600,,,"Ngũ Hành Sơn, Đà Nẵng",73.33
Bán nhà 3 tầng - Kiệt Dũng Sĩ Thanh Khê - Giá tốt,2.85,"41,8",3.0,,"Thanh Khê, Đà Nẵng",68.18
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Bán đất chính chủ Nhơn Hoà 7 140m2 thích hợp xây trọ hoặc ở sát bến xe Hoà An - Cẩm Lệ - Tp Đà Nẵng,3.4,140,,,"Cẩm Lệ, Đà Nẵng",24.29
"Bán đất Bàu Mạc 22 Pandora, 7m5 trục thông Nguyễn An Ninh Liên Chiểu",3.05,100,,,"Liên Chiểu, Đà Nẵng",30.5
Cần bán: Đường 7m5 Thái Văn Lung đảo vip,4.5,100,,,"Cẩm Lệ, Đà Nẵng",45.0
Bán góc 2 mặt tiền ngã tư Đường Hùng Vương trung tâm - Hải Châu - Đà Nẵng,82.0,236,3.0,2.0,"Hải Châu, Đà Nẵng",347.46
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Toà căn hộ 5 tầng đường Huy Cận đối diện ĐH Kiến Trúc - Thu nhập 50 triệu/tháng - TT quận Hải Châu,10.0,"70,2",16.0,16.0,"Hải Châu, Đà Nẵng",142.45
"Nhà 2 tầng trung tâm quận Thanh Khê, sát Hải Châu - giá còn thương lượng tốt - LH0905 061 ***",2.0,30,2.0,2.0,"Thanh Khê, Đà Nẵng",66.67
Nhà Bàu Năng rẻ nhất. Chỉ nhỉnh 5 tỷ sở hữu căn 4 tầng siêu đẹp,5.75,85,4.0,6.0,"Liên Chiểu, Đà Nẵng",67.65
"Bán lô đất đường 10m5 Nam Hoà Xuân sạch đẹp đường 10m5, giá cực tốt",4.15,"107,5",,,"Cẩm Lệ, Đà Nẵng",38.6
"Bán lô đất MT đường 7m5 Nguyễn Lộ Trạch đối diện Lottle Mart, Hoà Cường Nam, Hải Châu",6.85,100,,,"Hải Châu, Đà Nẵng",68.5
Bán đất đường Nguyễn Hữu Dật - Hòa Cường Bắc - Hải Châu - Đà Nẵng - DT 5x20m = 100m2 - Hướng Tây,0.0,100,,,"Hải Châu, Đà Nẵng",
"Bán nhà 4 tầng mặt tiền Trưng Nữ Vương, ngay trung tâm Hải Châu",11.5,94,4.0,,"Hải Châu, Đà Nẵng",122.34
Bán biệt thự biển Mỹ Khê góc 2 mặt tiền sân vườn đẹp thoáng mát phù hợp nghỉ dưỡng khu Võ Văn Kiệt,28.0,"252,5",3.0,4.0,"Sơn Trà, Đà Nẵng",110.89
Chính chủ bán nhanh nhà 4 tầng mới cứng 5PN 5WC đầy đủ công năng gần khu đảo vip,6.9,100,5.0,5.0,"Cẩm Lệ, Đà Nẵng",69.0
Bán lô góc đường 10m5 Q. Hải Châu ngang 6m giá 97tr3/m2,10.7,110,,,"Hải Châu, Đà Nẵng",97.27
Chính chủ bán nhanh toà căn hộ 33 phòng doanh thu hơn 100 tr/tháng ngay TTTP,16.5,150,33.0,33.0,"Hải Châu, Đà Nẵng",110.0
"Nhà gác lửng đúc kiệt 385 Nguyễn Văn Linh, P Thạc Gián, Thanh Khê. Dt: 87m2, 2.890 tỷ",2.89,87,,,"Thanh Khê, Đà Nẵng",33.22
Căn góc 2 mặt tiền trực diện sông Hàn - chỉ cần 30% nhận nhà ở ngay - hỗ trợ LS 18th,5.3,51,1.0,1.0,"Hải Châu, Đà Nẵng",103.92
Mở bán căn hộ Sun Symphony mặt sông Hàn Đà Nẵng - mua 1 tặng 1 - Ngắm pháo hoa quốc tế ngay tại nhà,3.39,"52,9",2.0,1.0,"Sơn Trà, Đà Nẵng",64.08
"Chỉ 7,5 tỷ sở hữu ngay nhà mặt tiền Phạm Đình Hổ, Liên Chiểu, Đà Nẵng, LH0934 888 ***",7.5,140,5.0,4.0,"Liên Chiểu, Đà Nẵng",53.57
"Bán nhà 3 tầng 2 mặt kiệt oto Nguyễn Chánh thông Trần Đình Tri, giá 2,95 tỷ, LH0934 888 ***",2.95,67,3.0,3.0,"Liên Chiểu, Đà Nẵng",44.03
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
"Độc quyền căn 2PN, 50m2 dự án Sun Cosmo Đà Nẵng tầng 21 view biển giá tốt nhất thị trường",2.99,50,2.0,1.0,"Ngũ Hành Sơn, Đà Nẵng",59.72
"Bán tòa căn hộ khách sạn An Thượng tuyệt đẹp, nằm ngay khu phố Tây. Ngay bãi tắm biển Mỹ Khê",0.0,154,14.0,,"Ngũ Hành Sơn, Đà Nẵng",
"Tôi cần bán cặp đất đường Bùi Thiện Ngộ, Đông Bắc, 200m2 - Hoà Xuân, Cẩm Lệ",8.2,200,,,"Cẩm Lệ, Đà Nẵng",41.0
Bán đất đường Phước Lý 1 kẹp cống sát góc 5m5 khu đô thị Phước Lý - Tp Đà Nẵng,2.75,"102,5",,,"Cẩm Lệ, Đà Nẵng",26.83
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Bán đất chính chủ Nhơn Hoà 7 140m2 thích hợp xây trọ hoặc ở sát bến xe Hoà An - Cẩm Lệ - Tp Đà Nẵng,3.4,140,,,"Cẩm Lệ, Đà Nẵng",24.29
"Bán đất Bàu Mạc 22 Pandora, 7m5 trục thông Nguyễn An Ninh Liên Chiểu",3.05,100,,,"Liên Chiểu, Đà Nẵng",30.5
Cần bán: Đường 7m5 Thái Văn Lung đảo vip,4.5,100,,,"Cẩm Lệ, Đà Nẵng",45.0
Bán góc 2 mặt tiền ngã tư Đường Hùng Vương trung tâm - Hải Châu - Đà Nẵng,82.0,236,3.0,2.0,"Hải Châu, Đà Nẵng",347.46
Toà căn hộ 5 tầng đường Huy Cận đối diện ĐH Kiến Trúc - Thu nhập 50 triệu/tháng - TT quận Hải Châu,10.0,"70,2",16.0,16.0,"Hải Châu, Đà Nẵng",142.45
"Nhà 2 tầng trung tâm quận Thanh Khê, sát Hải Châu - giá còn thương lượng tốt - LH0905 061 ***",2.0,30,2.0,2.0,"Thanh Khê, Đà Nẵng",66.67
Nhà Bàu Năng rẻ nhất. Chỉ nhỉnh 5 tỷ sở hữu căn 4 tầng siêu đẹp,5.75,85,4.0,6.0,"Liên Chiểu, Đà Nẵng",67.65
"Bán lô đất đường 10m5 Nam Hoà Xuân sạch đẹp đường 10m5, giá cực tốt",4.15,"107,5",,,"Cẩm Lệ, Đà Nẵng",38.6
"Bán lô đất MT đường 7m5 Nguyễn Lộ Trạch đối diện Lottle Mart, Hoà Cường Nam, Hải Châu",6.85,100,,,"Hải Châu, Đà Nẵng",68.5
Bán đất đường Nguyễn Hữu Dật - Hòa Cường Bắc - Hải Châu - Đà Nẵng - DT 5x20m = 100m2 - Hướng Tây,0.0,100,,,"Hải Châu, Đà Nẵng",
"Bán nhà 4 tầng mặt tiền Trưng Nữ Vương, ngay trung tâm Hải Châu",11.5,94,4.0,,"Hải Châu, Đà Nẵng",122.34
Bán biệt thự biển Mỹ Khê góc 2 mặt tiền sân vườn đẹp thoáng mát phù hợp nghỉ dưỡng khu Võ Văn Kiệt,28.0,"252,5",3.0,4.0,"Sơn Trà, Đà Nẵng",110.89
Chính chủ bán nhanh nhà 4 tầng mới cứng 5PN 5WC đầy đủ công năng gần khu đảo vip,6.9,100,5.0,5.0,"Cẩm Lệ, Đà Nẵng",69.0
Bán lô góc đường 10m5 Q. Hải Châu ngang 6m giá 97tr3/m2,10.7,110,,,"Hải Châu, Đà Nẵng",97.27
Chính chủ bán nhanh toà căn hộ 33 phòng doanh thu hơn 100 tr/tháng ngay TTTP,16.5,150,33.0,33.0,"Hải Châu, Đà Nẵng",110.0
"Nhà gác lửng đúc kiệt 385 Nguyễn Văn Linh, P Thạc Gián, Thanh Khê. Dt: 87m2, 2.890 tỷ",2.89,87,,,"Thanh Khê, Đà Nẵng",33.22
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Căn góc 2 mặt tiền trực diện sông Hàn - chỉ cần 30% nhận nhà ở ngay - hỗ trợ LS 18th,5.3,51,1.0,1.0,"Hải Châu, Đà Nẵng",103.92
Mở bán căn hộ Sun Symphony mặt sông Hàn Đà Nẵng - mua 1 tặng 1 - Ngắm pháo hoa quốc tế ngay tại nhà,3.39,"52,9",2.0,1.0,"Sơn Trà, Đà Nẵng",64.08
"Chỉ 7,5 tỷ sở hữu ngay nhà mặt tiền Phạm Đình Hổ, Liên Chiểu, Đà Nẵng, LH0934 888 ***",7.5,140,5.0,4.0,"Liên Chiểu, Đà Nẵng",53.57
"Bán nhà 3 tầng 2 mặt kiệt oto Nguyễn Chánh thông Trần Đình Tri, giá 2,95 tỷ, LH0934 888 ***",2.95,67,3.0,3.0,"Liên Chiểu, Đà Nẵng",44.03
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
"Bán nhà mặt tiền đường Nguyễn Hàng Chi, Hòa Hiệp Nam, Liên Chiểu, giá 3,4 tỷ, LH0934 888 ***",3.4,140,2.0,1.0,"Liên Chiểu, Đà Nẵng",24.29
"Bán lô đất Hòa Minh 25, Liên Chiểu, giá chỉ 3,95 tỷ, LH0934 888 ***",3.95,93,,,"Liên Chiểu, Đà Nẵng",42.47
"Bán lô góc 2 mặt tiền đường Âu Cơ, Liên Chiểu, giá chỉ 8 tỷ, LH0934 888 ***",8.0,"104,6",,,"Liên Chiểu, Đà Nẵng",76.48
"Bán lô đất đẹp số 3 Hố Truông 1, gần trung tâm VH thể thao quận Liên Chiểu, LH0934 888 ***",3.34,"88,5",,,"Liên Chiểu, Đà Nẵng",37.74
"Bán đất TDC Hoà Liên đường nhựa quy hoạch 5,5m",1.68,100,,,"Hòa Vang, Đà Nẵng",16.8
"Sụp hầm căn 2PN À La Carte view trực diện biển Mỹ Khê ĐN, sổ hồng sẵn full nội thất vip giá cực tốt",0.0,77,2.0,2.0,"Sơn Trà, Đà Nẵng",
"Nhà gác lửng đúc kiệt oto thông 577 Tôn Đản, Đà Nẵng. DT: 60m2, 3PN, Giá 2.850 tỷ, TL",2.85,60,3.0,,"Cẩm Lệ, Đà Nẵng",47.5
"Đất V6 FPT, hàng hiếm, phân khu đầu tư rất tiềm năng. Nhiều lựa chọn, báo giá tốt nhất",3.6,111,,,"Ngũ Hành Sơn, Đà Nẵng",32.43
"Chào bán nhà Trưng Nữ Vương, khu vip toàn cán bộ QK5 - Hải châu. DT 100m2 - 3 tầng - đường 6m",0.0,100,4.0,4.0,"Hải Châu, Đà Nẵng",
Bán đất mặt tiền 6m Nguyễn Văn Thoại. Giá rẻ nhất thị trường. Dt 147m2. Ngang 6m. Gọi ngay,7.2,147,,,"Sơn Trà, Đà Nẵng",48.98
"Sở hữu căn hộ ""siêu sang"" Peninsula mặt sông Hàn chỉ với hơn 2 tỷ - View Pháo Hoa cực đỉnh",0.0,100,2.0,3.0,"Sơn Trà, Đà Nẵng",
Chính chủ cần bán căn hộ 2PN Sam Tower bán được cho Người Nước Ngoài,6.0,70,2.0,2.0,"Hải Châu, Đà Nẵng",85.71
"Bán lô đất sạch đẹp, vị trí đắc địa đường Bùi Hiển, Bắc Sơn nối dài",0.0,100,,,"Cẩm Lệ, Đà Nẵng",
Chung cư thương mại The Ori Garden giá đầu tư,1.53,"59,6",2.0,2.0,"Liên Chiểu, Đà Nẵng",25.62
Lô 3MT Lâm Hoành - Cách biển 200m - gần trục Trần Bạch Đằng An Thượng nối dài - Giá tốt 15 tỷ,15.0,130,,,"Sơn Trà, Đà Nẵng",115.38
Lô đất biển DT khủng 315m2 sẵn dãy nhà 20 phòng - dòng tiền 70tr/tháng đường 7.5m ra Võ Nguyên Giáp,28.0,315,,,"Ngũ Hành Sơn, Đà Nẵng",88.89
Tổng hợp lãi suất vay mua bất động sản ưu đãi nhất thị trường,,,,,,
Lô 3MT Lâm Hoành - Cách biển 200m - gần trục Trần Bạch Đằng An Thượng nối dài - Giá tốt 15 tỷ,15.0,130,,,"Sơn Trà, Đà Nẵng",115.38
Lô đất biển DT khủng 315m2 sẵn dãy nhà 20 phòng - dòng tiền 70tr/tháng đường 7.5m ra Võ Nguyên Giáp,28.0,315,,,"Ngũ Hành Sơn, Đà Nẵng",88.89
"Bán nhà 3 mặt thoáng đường Huy Cận, diện tích 142,5m2 đất, gần Lý Nhân Tông và Lương Nhữ Hộc",7.5,"142,5",5.0,4.0,"Cẩm Lệ, Đà Nẵng",52.63
Bán lô góc siêu hiếm ven sông Hàn - gần dự án Sun Group - DT to 240m2 - 20 tỷ,20.0,240,,,"Ngũ Hành Sơn, Đà Nẵng",83.33
Chuyển nhượng quỹ đất phát triển dự án trên 1000 căn hộ tại Đà Nẵng,0.0,5.000,,,"Điện Bàn, Quảng Nam",
Chỉ 83tr/m2 -Lô đất đường 7.5m sát ngã 4 Đặng Vũ Hỷ- cách biển 2 phút - giá tốt 15.5 tỷ,15.5,185,,,"Sơn Trà, Đà Nẵng",83.78
Bán đất 2MT Nguyễn Văn Thoại - trục biển Mỹ Khê đi sân bay đang KD tốt - mặt tiền 6m - giá 45 tỷ,45.0,246,,,"Sơn Trà, Đà Nẵng",182.93
Cực hiếm lô đất Phan Liêm sát biển Mỹ Khê vài bước chân - Đường 7m5 - 90m2 - giá 13 tỷ có TL,13.0,90,,,"Ngũ Hành Sơn, Đà Nẵng",144.44
"Bán lô đất 2MT đường Thanh Hóa và Lê Thiết Hùng, gần cầu Nguyễn Tri Phương, vị trí kinh doanh",8.2,"158,3",,,"Cẩm Lệ, Đà Nẵng",51.8
"Cần bán đất mặt tiền đường Nguyễn Phẩm, Hòa Cường Bắc, Hải Châu, Đà Nẵng. Giá chỉ 5.x tỷ",5.2,"82,5",2.0,,"Hải Châu, Đà Nẵng",63.03
"Bán cặp đất Phước Trường 14, Phước Mỹ, Sơn Trà, Đà Nẵng",15.0,175,,,"Sơn Trà, Đà Nẵng",85.71
"Bán đất đẹp MT Đường 7m5 Nguyễn Lô Trạch, Hải Châu, đối diện Lottle mart, Hòa Cường Nam, Hải Châu",6.85,100,,,"Hải Châu, Đà Nẵng",68.5
